id,customer_name_age,is_customer,city,segment
139,Rohit_NA,False,Hyderabad,Corporate
140,Karthik_NA,False,Chennai,SMB
141,Venkatesh63,True,Pune,Retail
142,Deepak_NA,False,Mumbai,SMB
143,Karthik_NA,False,Mumbai,Corporate
144,Amit33,True,Chennai,Corporate
145,Mahesh_NA,False,Chennai,Retail
146,Karthik38,True,Pune,Retail
147,Rohit_NA,False,Chennai,SMB
148,Prakash53,True,Mumbai,Retail
149,Kiran_NA,False,Pune,SMB
150,Mahesh_NA,False,Pune,Corporate
151,Sateesh_NA,False,Bangalore,Corporate
152,Mahesh_NA,False,Pune,SMB
153,Deepak_NA,False,Mumbai,Corporate
154,Rohit_NA,False,Chennai,Corporate
155,Prakash32,True,Bangalore,Corporate
156,Anil65,True,Bangalore,Retail
157,Karthik_NA,False,Hyderabad,Retail
158,Naveen_NA,False,Bangalore,Corporate
159,Sateesh63,True,Chennai,Retail
160,Ravi_NA,False,Bangalore,SMB
161,Karthik24,True,Mumbai,Corporate
162,Karthik_NA,False,Chennai,Retail
163,Ravi_NA,False,Hyderabad,Retail
164,Suresh49,True,Mumbai,SMB
165,Ravi27,True,Mumbai,Corporate
166,Kiran33,True,Mumbai,Corporate
167,Santosh56,True,Mumbai,Corporate
168,Venkatesh_NA,False,Mumbai,Corporate
169,Naveen54,True,Mumbai,SMB
170,Anil31,True,Chennai,SMB
171,Kiran28,True,Bangalore,SMB
172,Kiran28,True,Pune,Corporate
173,Santosh_NA,False,Hyderabad,Retail
174,Naveen_NA,False,Pune,Retail
175,Mahesh34,True,Pune,Retail
176,Manoj32,True,Chennai,Retail
177,Kiran21,True,Chennai,SMB
178,Pavan_NA,False,Hyderabad,Corporate
179,Naveen_NA,False,Chennai,SMB
180,Manoj_NA,False,Hyderabad,SMB
181,Ravi_NA,False,Mumbai,Corporate
182,Sateesh23,True,Mumbai,SMB
183,Sateesh_NA,False,Mumbai,Retail
184,Arjun_NA,False,Chennai,Retail
185,Pavan_NA,False,Hyderabad,Corporate
186,Rohit_NA,False,Chennai,SMB
187,Anil_NA,False,Pune,SMB
188,Karthik_NA,False,Mumbai,Retail
189,Venkatesh_NA,False,Chennai,Corporate
190,Anil43,True,Mumbai,Corporate
191,Naresh21,True,Mumbai,Corporate
192,Santosh_NA,False,Hyderabad,Retail
193,Prakash53,True,Chennai,Corporate
194,Karthik25,True,Mumbai,Retail
195,Arjun37,True,Mumbai,Corporate
196,Kiran32,True,Pune,Retail
197,Vijay_NA,False,Mumbai,SMB
198,Prakash_NA,False,Pune,Retail
199,Venkatesh53,True,Pune,Retail
200,Santosh50,True,Hyderabad,Corporate
